code,num
C1072,781.3372737614689
C1128,1519.2598269039795
C1456,514.6911419832778
C1840,488.2476889552699
C1332,1126.5079310322476
C1563,2031.5947683893212
C1794,1133.1916715694906
C1640,331.3277968198347
C1377,361.67216099222
C2072,284.6289155007492
C1472,487.3467962729554
C1006,233.55115502343443
C1083,378.3062407736365
C1311,303.00933275004763
C2676,176.74651367699536
C2318,198.39455510429147
C1603,334.6719887498817
C2523,307.9650605462439
C2177,185.86110757930666
C2411,886.9526781442504
C2033,247.69783221275432
C1604,403.4315338260243
C2535,517.0520556584809
C1040,495.2568157405227
C2417,341.263494085065
C1812,109.73353896306261
C2253,113.93865549002366
C1294,512.6376662143629
C1772,315.83365730823454
C2646,463.9136575030553
C1152,1106.4526909163847
C2423,115.39237463971921
C1844,388.29153346456934
C1318,198.86075962221472
C1729,93.6430651707108
C1602,292.46698068244746
C1239,366.36540800368823
C1721,570.5382823705323
C1902,952.2039946801327
C1855,302.6679017049881
C2600,403.7945379260982
C1071,467.6812103914349
C2295,459.8478834831011
C1621,547.7979169285737
C1852,825.4236427339852
C2555,1488.3432272369614
C1297,491.96307516517237
C2323,693.4764113002684
C2215,428.4107606977062
C2112,400.6878768449964
C1830,921.2010063682851
C2602,271.93219292064293
C2608,1192.1817471778259
C1215,738.203032567988
C2369,613.6538479865376
C1158,288.1515022151939
C1887,512.6717941630264
C1189,287.0192387330699
C1637,371.23848136456587
C1225,121.43538314003827
C2374,379.43661552070995
C2397,628.8314117900031
C1105,1072.8163666398484
C1782,404.51203644162945
C1629,164.86842925370283
C1708,226.69837315303624
C2144,525.3808866920522
C1617,1129.350764623143
C1149,487.6533780817871
C1323,303.5275201613197
C1064,878.006129118814
C1019,294.9037878949803
C2269,656.916528918983
C1416,765.2892451425189
C1250,1084.6550723967473
C1741,474.54768545589394
C1016,800.1705683117898
C2675,1110.677470128257
C2436,671.1504426101457
C2039,1036.382630914585
C1253,989.2610006013723
C2028,1197.9953340086747
C1166,296.9573727153651
C1135,292.2468107611537
C1216,321.65263602203
C1593,208.42932288507654
C1826,265.9546837781764
C1827,378.4566029441745
C1564,264.46190198962205
C1495,1196.3700435864139
C2653,959.1660471480884
C1392,774.4719197165749
C2128,301.18681977843346
C1282,652.7277395414675
C1521,1214.8028254127594
C2076,1267.5635853237561
C1060,582.1425812072883
C2473,1296.7185948419308
C2557,687.5302141166521
C1835,1108.6126146609051
C2224,708.177681333694
C2222,456.6888063190936
C2430,787.3871760277411
C2497,618.5402579792121
C1494,957.898899104293
C1457,645.5706441940088
C1525,1304.0175770496198
C1712,711.0971270863596
C2267,1118.5783741258151
C1623,316.07483690148115
C2131,578.1462503543978
C2691,1242.795151545505
C1147,997.2255530955417
C1692,1174.1439385765486
C1570,964.4025397460484
C1474,107.1793317063916
C1633,140.6918625279077
C2113,578.9369069029203
C2175,839.838329862525
C2303,1502.8517635967182
C2547,606.601442356612
C2292,942.4096090370847
C1496,700.2549654786868
C1289,401.33304157552936
C1849,819.5389269941825
C1003,241.95325489653237
C2268,412.91566834341245
C2551,655.5943304577422
C2688,58.01819897026265
C1030,58.53155073939195
C1327,82.84271972907567
C2451,595.6567243529706
C1749,591.3078104358214
C1349,263.0510652659187
C2043,213.0198089867083
C1229,197.84736890202564
C2363,493.07084395904286
C1414,494.2680285343396
C2174,428.00680499869156
C2091,105.27031863183592
C2335,435.3858316467554
C1841,86.19490611416606
C2404,116.77814304347011
C1683,300.44528988228456
C1038,373.38343770699686
C2456,218.56885734212327
C1266,532.5168414807027
C2152,0.0
C1267,495.7419315548456
C2189,221.16443315014374
